interval,age_start,age_end,glacial
76,1990,2017,glacial
77,2017,2043,interglacial
78,2043,2088,glacial
79,2088,2103,interglacial
80,2103,2125,glacial
81,2125,2146,interglacial
82,2146,2168,glacial
83,2168,2192,interglacial
84,2192,2207.5,glacial
85,2207.5,2236,interglacial
86,2236,2250,glacial
87,2250,2273,interglacial
88,2273,2291,glacial
89,2291,2309,interglacial
90,2309,2333,glacial
91,2333,2350,interglacial
92,2350,2373,glacial
93,2373,2387,interglacial
94,2387,2407,glacial
95,2407,2427,interglacial
96,2427,2452,glacial
97,2452,2477,interglacial
98,2477,2494,glacial
99,2494,2510,interglacial
100,2510,2540,glacial
101,2540,2554,interglacial
102,2554,2575,glacial
103,2575,2595,interglacial
104,2595,2614,glacial
G1,2614,2638,interglacial
G2,2638,2652,glacial
G3,2652,2681,interglacial
G4,2681,2690,glacial
G5,2690,2704,interglacial
G6,2704,2730,glacial
G7,2730,2759,interglacial
G8,2759,2777,glacial
G9,2777,2798,interglacial
G10,2798,2820,glacial
G11,2820,2838,interglacial
G12,2838,2858,glacial
G13,2858,2876,interglacial
G14,2876,2893,glacial
G15,2893,2913,interglacial
G16,2913,2937,glacial
G17,2937,2966,interglacial
G18,2966,2982.5,glacial
G19,2982.5,2999,interglacial
G20,2999,3025,glacial
G21,3025,3039,interglacial
G22,3039,3055,glacial
K1,3055,3087,interglacial
K2,3087,3097,glacial
KM1,3097,3119,interglacial
KM2,3119,3150,glacial
KM3,3150,3167,interglacial
KM4,3167,3184,glacial
KM5,3184,3212,interglacial
KM6,3212,3238,glacial
M1,3238,3264,interglacial
M2,3264,3312,glacial
MG1,3312,3332,interglacial
MG2,3332,3347,glacial
MG3,3347,3372,interglacial
MG4,3372,3387,glacial
MG5,3387,3444,interglacial
MG6,3444,3471,glacial
MG7,3471,3517,interglacial
MG8,3517,3532,glacial
MG9,3532,3546,interglacial
MG10,3546,3566,glacial
MG11,3566,3578,interglacial
MG12,3578,3592,glacial
Gi1,3592,3619,interglacial
Gi2,3619,3637,glacial
Gi3,3637,3660,interglacial
Gi4,3660,3676,glacial
Gi5,3676,3705,interglacial
Gi6,3705,3719,glacial
Gi7,3719,3742,interglacial
Gi8,3742,3752,glacial
Gi9,3752,3768,interglacial
Gi10,3768,3798,glacial
Gi11,3798,3822,interglacial
Gi12,3822,3835,glacial
Gi13,3835,3862,interglacial
Gi14,3862,3879,glacial
Gi15,3879,3912,interglacial
Gi16,3912,3923,glacial
Gi17,3923,3939,interglacial
Gi18,3939,3952,glacial
Gi19,3952,3978,interglacial
Gi20,3978,4007,glacial
