latitude,depth,salinity,Estimated-Measured Salinity [pss-78]
-8.0400,3.580,34.640400,-10000000000.000000
-8.0400,10.640,34.639599,-10000000000.000000
-8.0400,25.057,34.622601,-0.046858
-8.0400,39.673,34.609402,0.032733
-8.0400,59.954,34.619400,0.160186
-8.0400,99.714,35.263199,-0.101011
-8.0400,149.504,35.803501,-0.277833
-8.0400,201.169,35.913799,-0.352866
-8.0400,399.461,34.690201,0.003037
-8.0400,597.861,34.533298,0.009841
-8.0400,795.576,34.520100,-0.004886
-8.0400,993.202,34.540798,-0.009060
-8.0400,1.889,34.611801,-10000000000.000000
-8.0400,24.859,34.606201,-0.031191
-8.0400,39.971,34.623699,0.020213
-8.0400,59.656,34.980301,-0.203071
-8.0400,99.317,35.415199,-0.256812
-8.0400,149.504,35.712399,-0.186730
-8.0400,199.480,35.969002,-0.406649
-8.0400,397.675,34.712700,-0.018566
-8.0400,794.585,34.516800,-0.001595
-8.0400,992.608,34.542500,-0.010763
-8.0400,3.182,34.229599,-10000000000.000000
-8.0400,10.342,34.230301,-10000000000.000000
-8.0400,23.864,34.252300,0.319053
-8.0400,40.468,34.524601,0.122272
-8.0400,60.351,34.868000,-0.085271
-8.0400,99.516,35.472698,-0.312411
-8.0400,149.007,35.702599,-0.178956
-8.0400,200.374,35.367699,0.193903
-8.0400,396.484,34.602402,0.092329
-8.0400,595.481,34.523998,0.019663
-8.0400,793.694,34.504799,0.010399
-8.0400,994.093,34.526699,0.005041
-8.0400,14.617,34.622501,-10000000000.000000
-8.0400,199.381,35.964298,-0.401862
-8.0400,299.296,35.101601,0.095728
-8.0400,396.583,34.721901,-0.027220
-8.0400,493.526,34.613800,0.003633
-8.0400,495.312,34.613998,0.002091
-8.0367,2.486,34.333000,-10000000000.000000
-8.0367,10.043,34.355900,-10000000000.000000
-8.0367,24.759,34.548901,0.025783
-8.0367,41.065,34.834900,-0.184565
-8.0367,59.258,35.043598,-0.269628
-8.0367,99.317,35.342800,-0.184716
-8.0367,149.206,35.832001,-0.307974
-8.0367,397.179,34.664501,0.029984
-8.0367,992.510,34.544701,-0.013013
-8.0200,991.718,34.539101,-0.007662
-8.0200,1238.194,34.564499,-0.002734
-8.0200,1484.480,34.589100,0.000058
-8.0200,1731.760,34.612900,0.000122
-8.0200,1979.048,34.637501,-0.000157
-8.0200,2225.460,34.651901,-0.000230
-8.0200,2471.981,34.657700,0.000052
-8.0200,2714.981,34.664200,-0.000031
-8.0200,2963.004,34.669998,-0.000088
-8.0200,3206.140,34.673100,0.000149
-8.0200,3452.039,34.680500,-0.000001
-8.0200,3650.164,34.684200,-0.000265
-8.0200,10.242,34.724098,-10000000000.000000
-8.0200,200.374,33.873501,1.687457
-8.0200,596.771,34.554001,-0.010270
-8.0200,792.506,34.510799,0.004497
-8.0200,995.677,34.529701,0.001751
-8.0200,995.974,34.530300,0.001154
-8.0167,1.989,34.262199,-10000000000.000000
-8.0167,9.447,34.287701,-10000000000.000000
-8.0167,24.759,34.327000,0.247916
-8.0167,39.872,34.344700,0.298033
-8.0167,59.656,34.714600,0.061816
-8.0167,99.218,35.389301,-0.234000
-8.0167,149.603,35.812901,-0.289809
-8.0167,199.579,35.787998,-0.226469
-8.0167,397.080,34.691002,0.004159
-8.0167,595.680,34.543201,0.000813
-8.0167,794.388,34.513401,0.001929
-8.0167,992.213,34.520500,0.010891
-8.0000,0.000,34.400002,-10000000000.000000
-8.0000,19.887,34.410000,0.147687
-8.0000,39.772,34.439999,0.201731
-8.0000,59.656,34.570000,0.205832
-8.0000,79.537,35.160000,-0.199111
-8.0000,99.416,35.299999,-0.144348
-8.0000,119.294,35.360001,-0.040926
-8.0000,139.169,35.500000,-0.025126
-8.0000,159.043,35.689999,-0.133205
-8.0000,178.915,35.740002,-0.170058
-8.0000,198.785,35.730000,-0.168316
-8.0000,248.451,35.490002,0.003706
-7.9800,10.143,34.623402,-10000000000.000000
-7.9800,198.785,35.859100,-0.298043
-7.9800,590.723,34.545300,0.000273
-7.9800,793.893,34.521099,-0.005575
-7.9800,992.214,34.520401,0.010449
-7.9800,992.412,34.520401,0.010450
-7.0170,0.000,34.599998,-10000000000.000000
-7.0170,19.888,34.599998,-0.065140
-7.0170,39.773,34.610001,-0.006973
-7.0170,59.657,34.639999,0.096540
-7.0170,79.539,35.000000,-0.066231
-7.0170,99.419,35.169998,-0.025547
-7.0170,119.297,35.270000,0.041667
-7.0170,139.173,35.480000,0.007963
-7.0170,159.047,35.680000,-0.091281
-7.0170,178.919,35.750000,-0.129868
-7.0170,198.789,35.720001,-0.085226
-7.0000,25.356,34.285301,0.264442
-7.0000,40.768,34.285801,0.323865
-7.0000,58.862,34.781601,-0.051302
-7.0000,97.530,35.535301,-0.412318
-7.0000,149.806,35.688400,-0.145704
-7.0000,198.293,35.395401,0.238229
-7.0000,396.494,34.621498,0.051779
-7.0000,595.496,34.521400,0.017929
-7.0000,793.119,34.516701,0.006833
-7.0000,994.909,34.538700,0.005541
-6.9983,25.456,34.722900,-0.172717
-6.9983,39.773,34.724499,-0.120257
-6.9983,99.220,35.544102,-0.404350
-6.9983,148.911,35.643799,-0.106054
-6.9983,198.392,35.909599,-0.276131
-6.9983,398.181,34.718201,-0.045237
-6.9983,596.091,34.541901,-0.002599
-6.9983,794.407,34.525700,-0.002151
-6.9983,993.029,34.549000,-0.004770
-6.9983,3.182,34.665798,-10000000000.000000
-6.9983,9.845,34.664902,-10000000000.000000
-6.9983,24.362,34.666801,-0.119426
-6.9983,59.856,34.899899,-0.161460
-6.9983,148.514,35.646900,-0.111187
-6.9983,198.889,35.814800,-0.181311
-6.9983,396.990,34.702702,-0.029493
-6.9983,595.000,34.536201,0.003164
-6.9983,793.516,34.517899,0.005643
-6.9983,994.909,34.545502,-0.001261
-6.9967,2.585,34.217499,-10000000000.000000
-6.9967,10.143,34.232700,-10000000000.000000
-6.9967,24.959,34.215099,0.333981
-6.9967,39.475,34.251900,0.350836
-6.9967,58.563,35.004501,-0.276503
-6.9967,99.021,35.417999,-0.280588
-6.9967,148.812,36.026501,-0.489621
-6.9967,199.286,35.610600,0.022755
-6.9967,397.883,34.660999,0.012055
-6.9967,594.802,34.560501,-0.021118
-6.9967,794.407,34.531700,-0.008147
-6.9967,994.019,34.548100,-0.003865
-6.9950,2.088,34.361401,-10000000000.000000
-6.9950,9.745,34.361000,-10000000000.000000
-6.9950,25.058,34.361000,0.188520
-6.9950,39.873,34.362999,0.242156
-6.9950,59.756,34.646702,0.091043
-6.9950,99.518,35.257099,-0.115010
-6.9950,199.783,35.605999,0.027219
-6.9950,395.997,34.633400,0.040080
-6.9950,594.306,34.535301,0.004118
-6.9950,595.100,34.535000,0.004373
-6.9950,992.534,34.543301,0.000924
-6.9900,3.480,34.462200,-10000000000.000000
-6.9900,9.745,34.462200,-10000000000.000000
-6.9900,25.854,34.461700,0.090421
-6.9900,40.072,34.463799,0.143005
-6.9900,60.850,34.469398,0.277380
-6.9900,100.711,35.278599,-0.125502
-6.9900,151.594,35.941502,-0.391913
-6.9900,197.498,35.543598,0.089004
-6.9900,398.776,34.655399,0.017589
-6.9900,794.704,34.522301,0.001270
-6.9900,994.316,34.542999,0.001232
-6.0083,2.287,34.622200,-10000000000.000000
-6.0083,10.640,34.650200,-10000000000.000000
-6.0083,25.456,34.625900,0.054997
-6.0083,40.470,34.696201,0.041799
-6.0083,60.354,35.489101,-0.625673
-6.0083,99.719,35.633801,-0.410991
-6.0083,149.113,35.754501,-0.208947
-6.0083,198.893,35.800701,-0.159371
-6.0083,398.189,34.899700,-0.172437
-6.0083,596.698,34.531101,0.011093
-6.0083,794.423,34.528801,-0.004788
-6.0083,993.148,34.557499,-0.012966
-6.0000,2.387,34.513802,-10000000000.000000
-6.0000,10.243,34.512901,-10000000000.000000
-6.0000,23.667,34.525799,0.150159
-6.0000,39.476,34.557098,0.175435
-6.0000,60.851,34.839001,0.027993
-6.0000,99.719,35.422501,-0.199442
-6.0000,150.107,35.746300,-0.196640
-6.0000,199.191,35.734501,-0.093053
-6.0000,397.395,34.708401,0.018742
-6.0000,595.806,34.566898,-0.024621
-6.0000,794.225,34.521500,0.002505
-6.0000,992.654,34.538200,0.006312
-6.0000,2.685,34.213200,-10000000000.000000
-6.0000,15.215,34.214802,-10000000000.000000
-6.0000,24.561,34.213600,0.464757
-6.0000,40.271,34.211300,0.525477
-6.0000,59.957,34.444199,0.416088
-6.0000,99.421,35.438499,-0.218130
-6.0000,150.206,35.657902,-0.107856
-6.0000,200.085,35.145199,0.496332
-6.0000,396.899,34.663101,0.064126
-6.0000,596.004,34.536201,0.006060
-6.0000,793.730,34.520401,0.003602
-6.0000,992.852,34.541500,0.003014
-5.9983,2.188,34.675400,-10000000000.000000
-5.9983,10.839,34.674099,-10000000000.000000
-5.9983,25.456,34.678501,0.002227
-5.9983,39.476,34.683601,0.048899
-5.9983,99.918,35.536301,-0.311398
-5.9983,149.709,35.637600,-0.089437
-5.9983,199.390,35.884800,-0.243316
-5.9983,397.693,34.695702,0.031338
-5.9983,595.013,34.538700,0.003645
-5.9983,794.523,34.523399,0.000605
-5.9983,992.555,34.543400,0.001108
-5.9983,2.486,34.964699,-10000000000.000000
-5.9983,10.243,34.965500,-10000000000.000000
-5.9983,24.561,34.967602,-0.289273
-5.9983,40.271,35.042301,-0.305557
-5.9983,59.957,35.094101,-0.233847
-5.9983,99.421,35.250401,-0.029980
-5.9983,148.616,35.473598,0.070315
-5.9983,198.098,35.828300,-0.186935
-5.9983,397.296,34.705898,0.021208
-5.9983,595.707,34.545200,-0.002912
-5.9983,793.928,34.522301,0.001701
-5.9983,995.227,34.540298,0.004231
-5.9983,2.088,34.558498,-10000000000.000000
-5.9983,10.640,34.561901,-10000000000.000000
-5.9983,25.357,34.574100,0.106361
-5.9983,40.172,34.575901,0.160312
-5.9983,59.559,34.943600,-0.086327
-5.9983,101.011,35.391998,-0.157234
-5.9983,149.411,35.897301,-0.350296
-5.9983,198.893,35.710701,-0.069263
-5.9983,397.097,34.657299,0.069841
-5.9983,596.203,34.526699,0.015549
-5.9983,793.829,34.523499,0.000503
-5.9983,993.346,34.549000,-0.004485
-5.0300,1.691,34.230801,-10000000000.000000
-5.0300,10.641,34.230701,-10000000000.000000
