age_ka,d18O,SL_m,V_LIS,V_EIS,V_AIS,V_GrIS,d18O_LIS,d18O_EIS,d18O_AIS,d18O_GrIS,d18Ow_IV,d18O_T,Tw
5300,3.07947184,6.887,0,0,54.471,3.971,-15,-15,-49.351,-19.898,-0.196,4.60E-02,-0.183
5299,3.074348626,7.115,0,0,54.357,3.857,-15,-15,-49.351,-19.898,-0.198,4.30E-02,-1.71E-01
5298,3.069225412,7.343,0,0,54.242,3.742,-15,-15,-49.351,-19.898,-0.201,0.04,-0.159
5297,3.064102197,7.571,0,0,50.457,3.628,-15,-15,-49.351,-19.898,-0.252,0.086,-0.343
5296,3.05693695,7.888,0,0,50.229,3.515,-15,-15,-49.351,-19.898,-0.255,0.082,-0.327
5295,3.041567307,8.566,0,0,49.912,3.356,-15,-15,-49.351,-19.898,-0.26,0.071,-0.285
5294,3.026197665,9.24,0,0,49.234,3.017,-15,-15,-49.351,-19.898,-0.271,6.70E-02,-0.267
5293,3.010828022,9.91,0,0,48.56,2.68,-15,-15,-49.351,-19.898,-0.281,6.20E-02,-2.49E-01
5292,2.99545838,10.576,0,0,47.89,2.345,-15,-15,-49.351,-19.898,-0.292,5.70E-02,-2.30E-01
5291,2.980088737,11.239,0,0,47.224,2.012,-15,-15,-49.351,-19.898,-0.303,5.30E-02,-2.11E-01
5290,2.967066164,11.797,0,0,46.561,1.681,-15,-15,-49.351,-19.898,-0.313,5.00E-02,-2.01E-01
5289,2.958527473,12.161,0,0,46.003,1.402,-15,-15,-49.351,-19.898,-0.322,5.00E-02,-2.02E-01
5288,2.949988783,12.524,0,0,45.639,1.22,-15,-15,-49.351,-19.898,-0.328,4.80E-02,-1.91E-01
5287,2.941450093,12.886,0,0,45.276,1.038,-15,-15,-49.351,-19.898,-0.334,4.50E-02,-0.18
5286,2.932911402,13.247,0,0,44.914,0.857,-15,-15,-49.351,-19.898,-0.339,4.20E-02,-0.169
5285,2.924372712,13.606,0,0,44.553,0.677,-15,-15,-49.351,-19.898,-0.345,3.90E-02,-1.58E-01
5284,2.907502065,14.313,0,0,44.194,0.497,-15,-15,-49.351,-19.898,-0.351,2.80E-02,-0.113
5283,2.881885995,15.377,0,0,43.487,0.144,-15,-15,-49.351,-19.898,-0.362,1.40E-02,-5.60E-02
5282,2.856269924,16.43,0,0,42.423,0,-15,-15,-49.351,-19.898,-0.377,3.23E-03,-0.013
5281,2.830653853,17.472,0,0,41.37,0,-15,-15,-49.351,-15,-0.391,-8.44E-03,0.034
5280,2.805037782,18.503,0,0,40.328,0,-15,-15,-49.351,-15,-0.405,-0.02,0.081
5279,2.779421711,19.523,0,0,39.297,0,-15,-15,-49.351,-15,-0.418,-0.032,0.129
5278,2.792672104,18.996,0,0,38.277,0,-15,-15,-49.351,-15,-0.432,-5.40E-03,0.022
5277,2.828534603,17.557,0,0,38.804,0,-15,-15,-48.859,-15,-0.43,2.80E-02,-0.114
