Longitude,Latitude,Depth,pTemperature,Salinity,d18O,dD,Year,Month,Reference
142.85,29.08,2926,1.36,34.65,-0.20,**,1984,8,Oba (1988)
145.42,39.93,2859,1.36,34.64,-0.20,**,1984,9,Oba (1988)
143.98,35.02,1499,2.31,34.52,-0.20,**,1997,8,M. Itou (pers. comm.)
150.65,47.65,1002,2.49,34.22,-0.20,**,1998,7,Yamamoto et al (2002)
144,41.52,1000,3.1,34.32,-0.18,**,1997,5,M. Itou (pers. comm.)
150.65,47.65,1100,2.4,34.28,-0.18,**,1998,7,Yamamoto et al (2002)
142.85,29.08,4877,1.06,34.66,-0.17,**,1984,8,Oba (1988)
144,33,1000,3.65,34.33,-0.17,**,1997,5,M. Itou (pers. comm.)
144.02,42,1000,2.78,34.35,-0.17,**,1997,8,M. Itou (pers. comm.)
144.07,39.97,1000,2.89,34.35,-0.17,**,1997,8,M. Itou (pers. comm.)
151.27,46.85,1000,2.34,34.29,-0.17,**,1996,9,Yamamoto et al (2001)
150.5,47.5,1000,2.4,34.26,-0.17,**,1996,9,Yamamoto et al (2001)
146.75,37,1000,3.02,34.4,-0.16,**,1996,5,M. Itou (pers. comm.)
144,37,1000,3.06,34.41,-0.16,**,1997,5,M. Itou (pers. comm.)
143.97,38.58,1000,3.06,34.36,-0.16,**,1997,8,M. Itou (pers. comm.)
150.13,48.12,1100,2.35,34.36,-0.16,**,1998,7,Yamamoto et al (2002)
144.07,39.97,1250,2.5,34.44,-0.15,**,1997,8,M. Itou (pers. comm.)
143.98,37.02,1000,2.73,34.4,-0.15,**,1997,8,M. Itou (pers. comm.)
150.13,48.12,1199,2.3,34.41,-0.15,**,1998,7,Yamamoto et al (2002)
145.84,46.42,1198,2.33,34.36,-0.15,**,1998,8,Yamamoto et al (2002)
143.98,35.02,1250,2.55,34.48,-0.14,**,1997,8,M. Itou (pers. comm.)
148.31,49,1001,2.46,34.31,-0.14,**,1996,10,Yamamoto et al (2001)
145.5,41.5,1001,2.66,34.44,-0.14,**,1996,8,Yamamoto et al (2001)
151.87,43.62,1000,2.54,34.41,-0.14,**,1996,8,Yamamoto et al (2001)
151.12,47.21,1212,2.33,34.38,-0.14,**,1999,9,Yamamoto et al (2002)
142.85,29.08,7749,1.05,34.69,-0.13,**,1984,8,Oba (1988)
143.98,37.02,1250,2.45,34.48,-0.13,**,1997,8,M. Itou (pers. comm.)
143.98,35.02,1001,3.01,34.41,-0.13,**,1997,8,M. Itou (pers. comm.)
152.3,46.04,1000,2.72,34.38,-0.13,**,1998,7,Yamamoto et al (2002)
152.3,46.04,1598,2.16,34.53,-0.13,**,1998,7,Yamamoto et al (2002)
151.6,46.73,1100,2.22,34.36,-0.13,**,1998,7,Yamamoto et al (2002)
150.65,47.65,1198,2.39,34.35,-0.13,**,1998,7,Yamamoto et al (2002)
150.65,47.65,1400,2.24,34.43,-0.13,**,1998,7,Yamamoto et al (2002)
149.68,48.59,1212,2.25,34.42,-0.13,**,1999,9,Yamamoto et al (2002)
147.51,49.5,1213,2.36,34.41,-0.13,**,1999,9,Yamamoto et al (2002)
147.51,49.5,1223,2.36,34.41,-0.13,**,1999,9,Yamamoto et al (2002)
146.75,33,2001,1.92,34.6,-0.12,**,1996,5,M. Itou (pers. comm.)
152.3,46.04,1099,2.63,34.41,-0.12,**,1998,7,Yamamoto et al (2002)
150.65,47.65,1597,2.14,34.49,-0.12,**,1998,7,Yamamoto et al (2002)
145.84,46.42,1599,2.12,34.49,-0.12,**,1998,8,Yamamoto et al (2002)
145.01,45.67,1599,2.07,34.51,-0.12,**,1998,8,Yamamoto et al (2002)
151.89,47.19,1200,2.28,34.38,-0.12,**,1999,9,Yamamoto et al (2002)
146.75,33,1499,2.39,34.51,-0.11,**,1996,5,M. Itou (pers. comm.)
143.97,38.58,1498,2.38,34.51,-0.11,**,1997,8,M. Itou (pers. comm.)
143.98,37.02,1500,2.22,34.53,-0.11,**,1997,8,M. Itou (pers. comm.)
155.5,46,1000,2.44,34.44,-0.11,**,1996,8,Yamamoto et al (2001)
152.3,46.04,1199,2.52,34.44,-0.11,**,1998,7,Yamamoto et al (2002)
151.9,46.38,1401,2.26,34.5,-0.11,**,1998,7,Yamamoto et al (2002)
150.13,48.12,1400,2.19,34.47,-0.11,**,1998,7,Yamamoto et al (2002)
146.73,34.03,1000,3.07,34.41,-0.10,**,1996,5,M. Itou (pers. comm.)
144.07,39.97,1500,2.27,34.51,-0.10,**,1997,8,M. Itou (pers. comm.)
143.97,38.58,1249,2.69,34.45,-0.10,**,1997,8,M. Itou (pers. comm.)
155.33,47.58,1000,2.55,34.41,-0.10,**,1996,9,Yamamoto et al (2001)
152.3,46.04,1399,2.34,34.49,-0.10,**,1998,7,Yamamoto et al (2002)
152.3,46.04,2499,1.7,34.64,-0.10,**,1998,7,Yamamoto et al (2002)
151.9,46.38,1002,2.7,34.39,-0.10,**,1998,7,Yamamoto et al (2002)
150.65,47.65,1797,2.06,34.52,-0.10,**,1998,7,Yamamoto et al (2002)
150.13,48.12,1600,2.09,34.51,-0.10,**,1998,7,Yamamoto et al (2002)
145.84,46.42,2000,1.99,34.54,-0.10,**,1998,8,Yamamoto et al (2002)
145.01,45.67,1400,2.15,34.47,-0.10,**,1998,8,Yamamoto et al (2002)
145.01,45.67,1799,2,34.53,-0.10,**,1998,8,Yamamoto et al (2002)
156.25,49.12,1000,2.66,34.4,-0.09,**,1996,9,Yamamoto et al (2001)
157.59,48.46,1000,2.46,34.44,-0.09,**,1996,9,Yamamoto et al (2001)
145.84,46.42,2248,1.92,34.57,-0.09,**,1998,8,Yamamoto et al (2002)
145.84,46.42,2500,1.89,34.58,-0.09,**,1998,8,Yamamoto et al (2002)
145.01,45.67,2999,1.85,34.6,-0.09,**,1998,8,Yamamoto et al (2002)
151.12,47.21,3376,1.87,34.61,-0.09,**,1999,9,Yamamoto et al (2002)
150.65,47.65,1415,2.2,34.46,-0.09,**,1999,9,Yamamoto et al (2002)
149.68,48.59,1593,2.1,34.51,-0.09,**,1999,9,Yamamoto et al (2002)
134.93,7.73,7434,**,34.69,-0.09,**,**,**,Craig and Gordon (1965)
134.93,7.73,7929,**,34.7,-0.09,**,**,**,Craig and Gordon (1965)
152.3,46.04,1800,2.06,34.56,-0.08,**,1998,7,Yamamoto et al (2002)
152.3,46.04,3003,1.55,34.66,-0.08,**,1998,7,Yamamoto et al (2002)
152.3,46.04,3501,1.48,34.68,-0.08,**,1998,7,Yamamoto et al (2002)
150.65,47.65,2498,1.89,34.58,-0.08,**,1998,7,Yamamoto et al (2002)
150.65,47.65,3002,1.87,34.6,-0.08,**,1998,7,Yamamoto et al (2002)
145.84,46.42,3000,1.86,34.6,-0.08,**,1998,8,Yamamoto et al (2002)
145.84,46.42,3320,1.88,34.61,-0.08,**,1998,8,Yamamoto et al (2002)
145.01,45.67,2519,1.86,34.59,-0.08,**,1998,8,Yamamoto et al (2002)
145.01,45.67,3197,1.87,34.61,-0.08,**,1998,8,Yamamoto et al (2002)
142.17,11.28,6781,**,34.71,-0.08,**,**,**,Craig and Gordon (1965)
152.3,46.04,2001,1.93,34.59,-0.07,**,1998,7,Yamamoto et al (2002)
