Longitude,Latitude,Depth,pTemperature,Salinity,d18O,dD,Year,Month,Reference,
-152.47,57.45,0,7.78,0,-10.68,**,2003,6,Taylor (2004 pers. comm.),
-152.47,57.45,0,7.78,0,-10.66,**,2003,6,Taylor (2004 pers. comm.),
129,71.81,4,**,0.05,-20.6,**,1992,4,Bauch et al (1995),
-152.65,57.72,0,7.78,1,-11.47,**,2003,6,Taylor (2004 pers. comm.),
-152.65,57.72,0,7.78,1,-11.4,**,2003,6,Taylor (2004 pers. comm.),
131,72,1,**,2.29,-19.15,**,1989,9,Letolle et al (1993),
131.5,70.5,6,**,2.37,-18.9,**,1989,9,Letolle et al (1993),
132,72,7,**,4.35,-17.2,**,1989,9,Letolle et al (1993),
130.5,72.5,2,4.82,4.7,-15.96,**,1994,9,Frank (1996),
130.5,72.5,2,4.82,4.7,-15.22,**,1994,9,Mueller-Lupp et al (2003),
130.5,73,2,4.63,5.1,-16.64,**,1994,9,Frank (1996),
130.5,73,2,4.63,5.1,-14.61,**,1994,9,Mueller-Lupp et al (2003),
130.5,72.25,2,4.93,5.11,-17.38,**,1994,9,Frank (1996),
134,72,2,3.98,8.31,-15.05,**,1994,9,Mueller-Lupp et al (2003),
131,72.5,1,**,9.14,-14.75,**,1989,9,Letolle et al (1993),
134,73,2,3.27,9.25,-14.37,**,1994,9,Mueller-Lupp et al (2003),
134,72.5,2,3.65,9.49,-14.91,**,1994,9,Mueller-Lupp et al (2003),
132,72.5,7,**,9.59,-14.9,**,1989,9,Letolle et al (1993),
132,73,4,**,9.59,-14.25,**,1989,9,Letolle et al (1993),
134,73.5,2,3.04,11.67,-13.72,**,1994,9,Frank (1996),
134,73.5,2,3.04,11.67,-13.49,**,1994,9,Mueller-Lupp et al (2003),
130.5,73.5,2,3.56,11.77,-13.59,**,1994,9,Mueller-Lupp et al (2003),
130.5,73.5,2,3.54,11.86,-13.45,**,1994,9,Frank (1996),
-152.56,71.45,1,0.02,12.39,-1.22,**,2002,8,Cooper et al (2005),
130.5,72.5,9,3.62,12.91,-12.71,**,1994,9,Frank (1996),
130.5,72.5,9,3.62,12.91,-12.27,**,1994,9,Mueller-Lupp et al (2003),
129,74,2,3.79,12.95,-12.87,**,1994,9,Frank (1996),
129,74,2,3.79,12.95,-12.24,**,1994,9,Mueller-Lupp et al (2003),
130.5,73.75,2,3.29,13.68,-12.8,**,1994,9,Frank (1996),
132.5,74,2,3.76,13.93,-12.62,**,1994,9,Frank (1996),
132.51,74,2,3.76,13.93,-11.49,**,1994,9,Mueller-Lupp et al (2003),
127.5,74,2,3.11,14.42,-13.01,**,1994,9,Mueller-Lupp et al (2003),
-141.33,69.75,1,6.7,14.5,-8.61,**,1977,7,Bedard et al (1981),
130.5,74,2,3.67,14.63,-12.15,**,1994,9,Frank (1996),
130.5,74,2,3.67,14.63,-9.63,**,1994,9,Mueller-Lupp et al (2003),
130.5,72.25,9,2.44,14.72,-13.17,**,1994,9,Frank (1996),
131.5,74,2,3.68,14.86,-12.42,**,1994,9,Mueller-Lupp et al (2003),
131.5,74,2,3.68,14.86,-12.22,**,1994,9,Frank (1996),
129,74,7,2.9,15.19,-11.11,**,1994,9,Mueller-Lupp et al (2003),
128.5,74,2,3.2,15.34,-11.75,**,1994,9,Frank (1996),
132,73.5,7,**,15.36,-12.3,**,1989,9,Letolle et al (1993),
125.99,74,2,3.06,15.38,-11.87,**,1994,9,Mueller-Lupp et al (2003),
125.98,74,2,3.06,15.38,-11.61,**,1994,9,Frank (1996),
-141.25,69.68,1,8,15.5,-8.71,**,1977,7,Bedard et al (1981),
