age_ka,requested
2348.16717,0
2352.437058,1
2358.84189,0
2362.73371,1
2366.62553,0
2370.272726,1
2375.74352,0
2377.166816,1
2379.30176,0
2381.68451,1
2384.86151,0
2386.958326,1
2389.75408,0
2392.42276,1
2397.09295,0
2399.98402,0
2402.096725,1
2404.20943,0
2406.87811,1
2410.88113,0
2413.371894,1
2417.10804,0
2419.99911,0
2421.155538,1
2422.89018,0
2425.55886,1
2429.56188,0
2431.963692,1
2435.56641,0
2438.90225,0
2440.147634,1
2442.01571,0
2444.061698,1
2447.13068,0
2450.02175,0
2451.35609,1
2453.3576,0
2460.518558,1
2463.58754,0
2466.389651,1
2469.191762,1
2472.92791,0
2475.263005,1
2477.5981,1
2480.71156,0
2485.15936,0
2488.7176,0
2490.415848,1
2492.680179,1
2494.94451,0
2496.27885,1
2497.61319,1
2499.39231,0
2501.39382,0
2502.95055,0
2504.195934,1
2506.06401,0
2507.39835,1
2509.39986,0
2511.17898,0
2513.18049,0
2515.157286,1
2517.62828,0
2521.460231,1
2525.292182,1
2530.08212,0
2532.08363,0
2536.30904,0
2538.349793,1
2540.900734,1
2542.941487,1
2544.98224,0
2546.3926,1
2547.4,0
2548.6,0
2555.1,0
2556.3,0
2557.6,0
2559.1,0
2560.4,0
2561.6,0
2563.1,0
2563.8,0
2565.2,0
2566.9,0
2568.1,0
2569.2,0
2570.6,0
2572,0
2573.2,0
2575.1,0
2576.6,0
2579.3,0
2581.4,0
2583.4,0
2585.1,0
2587.6,0
2589.4,0
2591.1,0
2592.8,0
2594.2,0
2595.5,0
2597.2,0
2598.7,0
2600.5,0
2604.4,0
2605.7,0
2607.8,0
2610,0
2611.6,0
2612.8,0
2613.7,0
2616.5,0
2618.5,0
2622.1,0
2624.2,0
2629,0
2629.6,0
2630.8,0
2632.4,0
2633.5,0
2634.7,0
2635.4,0
2636.2,0
2637.3,0
2639.3,0
2642.8,0
2644.7,0
2645.5,0
2646.7,0
2647.8,0
2649.3,0
2650.4,0
2651.6,0
2653.2,0
2654.6,0
2656.4,0
2659.4,0
2661.5,0
2666.6,0
2668.2,0
2669.9,0
2671.5,0
2673.1,0
2674.2,0
2675.1,0
2676.2,0
2677.4,0
2678.9,0
2680,0
2681.3,0
2682.5,0
2683.5,0
2684.5,0
2685.3,0
2686.1,0
2687.2,0
2688.3,0
2689.7,0
2690.9,0
2692,0
2693.6,0
2694.8,0
2696.1,0
2696.9,0
2697.8,0
2699.4,0
2700.9,0
2703,0
2704.6,0
2705.8,0
2708.2,0
2710.2,0
2713.2,0
2714.7,0
2718.4,0
2722.4,0
2724.9,0
2728.4,0
2735.2,0
2741.4,0
2756.69744,0
2759.8109,0
2762.47958,0
2767.81694,0
2772.48713,0
2775.15581,0
2777.6021,0
2782.71706,0
2785.83052,0
2788.4992,0
2792.27983,0
2795.61568,0
2802.28738,0
2809.62624,0
2815.63077,0
2820.52335,0
2824.52637,0
2828.08461,0
2831.42045,0
2835.20108,0
2839.2041,0
2843.20712,0
2847.43253,0
2851.65794,0
2856.32813,0
2860.10875,0
2862.99982,0
2864.33416,0
2869.00435,0
2873.45215,0
2876.12083,0
2878.34473,0
2883.2373,0
2887.90749,0
2890.57617,0
2893.24485,0
2899.47177,0
2902.36284,0
2904.36435,0
2905.4763,0
2907.03303,0
2908.58975,0
2912.81516,0
2916.59579,0
2921.04359,0
2926.38095,0
2931.9407,0
2935.49893,0
2941.28107,0
2943.50497,0
2945.50648,0
2949.73189,0
2954.17969,0
2956.84837,0
2957.73793,0
2961.96333,0
2967.0783,0
2968.41264,0
2970.19176,0
2974.63956,0
2978.86497,0
2981.53365,0
2983.75755,0
2988.87251,0
2992.20836,0
2994.20987,0
2997.10094,0
3002.21591,0
3004.43981,0
3005.99654,0
3009.99956,0
3012.22346,0
3016.67125,0
3020.89666,0
3023.34295,0
3026.6788,0
3031.79377,0
3038.46547,0
3042.0237,0
3044.91477,0
3050.02974,0
3055.3671,0
3058.70295,0
3061.37163,0
3067.82093,0
3072.26873,0
3075.60458,0
3078.94043,0
3085.16735,0
3088.72559,0
3091.83904,0
3095.17489,0
3098.28835,0
3103.62571,0
3108.96307,0
3111.85414,0
3114.30043,0
3118.74822,0
3123.19602,0
3125.41992,0
3127.19904,0
3131.20206,0
3135.42747,0
3138.09615,0
3140.76483,0
3146.76935,0
3149.88281,0
3152.99627,0
3156.7769,0
3159.89036,0
3162.55904,0
3167.67401,0
3172.56658,0
3175.68004,0
3178.7935,0
3186.13237,0
3190.58017,0
3194.13841,0
3197.47425,0
3203.92356,0
3209.7057,0
3212.59677,0
3214.82067,0
3219.04608,0
3221.71475,0
3224.16104,0
3227.05211,0
3229.94318,0
3235.72532,0
3241.06268,0
3243.95375,0
3246.40004,0
3250.62544,0
3254.85085,0
3257.51953,0
3260.4106,0
3265.97035,0
3272.19727,0
3274.86594,0
3277.31223,0
3281.53764,0
3285.98544,0
3288.65412,0
3291.76758,0
3297.32733,0
3299.996,0
3303.10946,0
3307.33487,0
3309.33638,0
3315.78569,0
3323.12456,0
3326.4604,0
3329.57386,0
3334.46644,0
3338.91424,0
3341.36053,0
3343.58443,0
3349.14418,0
3352.48002,0
3354.48153,0
3356.70543,0
3360.70845,0
3364.71147,0
3366.93537,0
3370.04883,0
3375.38619,0
3378.05487,0
3380.50115,0
3384.72656,0
3388.72958,0
3392.7326,0
3396.51323,0
3400.51625,0
3404.29688,0
3408.0775,0
3411.85813,0
3415.86115,0
3419.86417,0
3423.86719,0
3428.0926,0
3432.09561,0
3435.87624,0
3439.65687,0
3443.4375,0
3447.21813,0
3450.99876,0
3454.77939,0
3458.56001,0
3462.56303,0
3466.56605,0
3471.45863,0
3474.12731,0
3478.13033,0
3482.35574,0
3486.35875,0
3490.80655,0
3495.03196,0
3498.81259,0
3502.81561,0
3507.04102,0
3511.48881,0
3516.159,0
3521.49636,0
3526.38894,0
3526.83372,0
3532.39347,0
3533.06064,0
3538.39799,0
3543.73535,0
3548.85032,0
3554.18768,0
3559.74743,0
3565.30717,0
3570.86692,0
3577.76101,0
3581.76403,0
3587.32377,0
3595.5522,0
3600,0
