age_ka,SL_m,V_LIS,V_EIS,V_AIS,V_GrIS,d18O_LIS,d18O_EIS,d18O_AIS,d18O_GrIS,Dd18O_ice,Dd18O_temp,SeaTemp
5300.00000,6.88700,0.00000,0.00000,54.47100,3.97100,-15.00000,-15.00000,-49.35100,-19.89800,-0.19600,0.04600,-0.18300
5299.00000,7.11500,0.00000,0.00000,54.35700,3.85700,-15.00000,-15.00000,-49.35100,-19.89800,-0.19800,0.04300,-0.17100
5298.00000,7.34300,0.00000,0.00000,54.24200,3.74200,-15.00000,-15.00000,-49.35100,-19.89800,-0.20100,0.04000,-0.15900
5297.00000,7.57100,0.00000,0.00000,50.45700,3.62800,-15.00000,-15.00000,-49.35100,-19.89800,-0.25200,0.08600,-0.34300
5296.00000,7.88800,0.00000,0.00000,50.22900,3.51500,-15.00000,-15.00000,-49.35100,-19.89800,-0.25500,0.08200,-0.32700
5295.00000,8.56600,0.00000,0.00000,49.91200,3.35600,-15.00000,-15.00000,-49.35100,-19.89800,-0.26000,0.07100,-0.28500
5294.00000,9.24000,0.00000,0.00000,49.23400,3.01700,-15.00000,-15.00000,-49.35100,-19.89800,-0.27100,0.06700,-0.26700
5293.00000,9.91000,0.00000,0.00000,48.56000,2.68000,-15.00000,-15.00000,-49.35100,-19.89800,-0.28100,0.06200,-0.24900
5292.00000,10.57600,0.00000,0.00000,47.89000,2.34500,-15.00000,-15.00000,-49.35100,-19.89800,-0.29200,0.05700,-0.23000
5291.00000,11.23900,0.00000,0.00000,47.22400,2.01200,-15.00000,-15.00000,-49.35100,-19.89800,-0.30300,0.05300,-0.21100
5290.00000,11.79700,0.00000,0.00000,46.56100,1.68100,-15.00000,-15.00000,-49.35100,-19.89800,-0.31300,0.05000,-0.20100
5289.00000,12.16100,0.00000,0.00000,46.00300,1.40200,-15.00000,-15.00000,-49.35100,-19.89800,-0.32200,0.05000,-0.20200
5288.00000,12.52400,0.00000,0.00000,45.63900,1.22000,-15.00000,-15.00000,-49.35100,-19.89800,-0.32800,0.04800,-0.19100
5287.00000,12.88600,0.00000,0.00000,45.27600,1.03800,-15.00000,-15.00000,-49.35100,-19.89800,-0.33400,0.04500,-0.18000
5286.00000,13.24700,0.00000,0.00000,44.91400,0.85700,-15.00000,-15.00000,-49.35100,-19.89800,-0.33900,0.04200,-0.16900
5285.00000,13.60600,0.00000,0.00000,44.55300,0.67700,-15.00000,-15.00000,-49.35100,-19.89800,-0.34500,0.03900,-0.15800
5284.00000,14.31300,0.00000,0.00000,44.19400,0.49700,-15.00000,-15.00000,-49.35100,-19.89800,-0.35100,0.02800,-0.11300
5283.00000,15.37700,0.00000,0.00000,43.48700,0.14400,-15.00000,-15.00000,-49.35100,-19.89800,-0.36200,0.01400,-0.05600
5282.00000,16.43000,0.00000,0.00000,42.42300,0.00000,-15.00000,-15.00000,-49.35100,-19.89800,-0.37700,0.00323,-0.01300
5281.00000,17.47200,0.00000,0.00000,41.37000,0.00000,-15.00000,-15.00000,-49.35100,-15.00000,-0.39100,-0.00844,0.03400
5280.00000,18.50300,0.00000,0.00000,40.32800,0.00000,-15.00000,-15.00000,-49.35100,-15.00000,-0.40500,-0.02000,0.08100
5279.00000,19.52300,0.00000,0.00000,39.29700,0.00000,-15.00000,-15.00000,-49.35100,-15.00000,-0.41800,-0.03200,0.12900
5278.00000,18.99600,0.00000,0.00000,38.27700,0.00000,-15.00000,-15.00000,-49.35100,-15.00000,-0.43200,-0.00540,0.02200
5277.00000,17.55700,0.00000,0.00000,38.80400,0.00000,-15.00000,-15.00000,-48.85900,-15.00000,-0.43000,0.02800,-0.11400
5276.00000,16.09700,0.00000,0.00000,40.24300,0.00000,-15.00000,-15.00000,-48.51700,-15.00000,-0.41500,0.04900,-0.19600
5275.00000,14.61500,0.00000,0.00000,41.70300,0.00000,-15.00000,-15.00000,-48.29800,-15.00000,-0.39800,0.06800,-0.27300
5274.00000,13.11100,0.00000,0.00000,43.18500,0.00000,-15.00000,-15.00000,-48.18100,-15.00000,-0.38000,0.08600,-0.34500
5273.00000,11.58600,0.00000,0.00000,44.68900,0.74400,-15.00000,-15.00000,-48.14500,-15.59700,-0.35800,0.10000,-0.40000
5272.00000,11.52700,0.00000,0.00000,46.21400,1.50700,-15.00000,-15.00000,-48.17900,-16.28300,-0.33400,0.07800,-0.31100
5271.00000,11.89200,0.00000,0.00000,46.27300,1.53700,-15.00000,-15.00000,-48.21000,-16.68800,-0.33300,0.06800,-0.27200
5270.00000,12.25600,0.00000,0.00000,45.90800,1.35400,-15.00000,-15.00000,-48.21000,-16.68800,-0.33900,0.06500,-0.26100
5269.00000,12.61900,0.00000,0.00000,45.54400,1.17200,-15.00000,-15.00000,-48.21000,-16.68800,-0.34400,0.06200,-0.24800
5268.00000,12.98100,0.00000,0.00000,45.18100,0.99100,-15.00000,-15.00000,-48.21000,-16.68800,-0.35000,0.05900,-0.23600
5267.00000,13.34100,0.00000,0.00000,44.81900,0.81000,-15.00000,-15.00000,-48.21000,-16.68800,-0.35500,0.05600,-0.22400
5266.00000,13.96400,0.00000,0.00000,44.45900,0.63000,-15.00000,-15.00000,-48.21000,-16.68800,-0.36100,0.04700,-0.18700
5265.00000,14.60600,0.00000,0.00000,43.83600,0.31800,-15.00000,-15.00000,-48.21000,-16.68800,-0.37000,0.04100,-0.16300
5264.00000,15.24300,0.00000,0.00000,43.19400,0.00000,-15.00000,-15.00000,-48.21000,-16.68800,-0.38000,0.03500,-0.14100
5263.00000,15.87700,0.00000,0.00000,42.55700,0.00000,-15.00000,-15.00000,-48.21000,-15.00000,-0.38800,0.02800,-0.11200
5262.00000,16.50700,0.00000,0.00000,41.92300,0.00000,-15.00000,-15.00000,-48.21000,-15.00000,-0.39700,0.02100,-0.08400
5261.00000,17.07900,0.00000,0.00000,41.29300,0.00000,-15.00000,-15.00000,-48.21000,-15.00000,-0.40500,0.01500,-0.06000
