,mcd_x,age_ka,MgCa,FeCa,AlCa,notes,Unnamed: 6,mcd_y,d13C,d18O,Notes,Unnamed: 5
0,116.12,2499.9,0.93,17.0,7.0,1208 13-5 123-125,,116.12,-1.15,3.42,1208 13-5 123-125 U,-0.25
1,116.47,2508.1,1.08,16.0,30.0,1208 13-6 10-12,,116.47,-1.55,3.57,1208 13-6 10-12 U,-0.65
2,116.66,2512.5,0.94,12.0,6.0,1208 13-6 30-32,,116.66,-1.69,3.91,1208 13-6 30-32 U,-0.79
3,116.78,2514.8,0.94,13.0,12.0,1208 13-6 42-44,,116.78,-1.7,4.09,1208 13-6 42-44 U,-0.8
4,116.86,2516.2,0.94,14.0,5.0,1208 13-6 50-52,,116.86,-1.77,4.22,1208 13-6 50-52 U,-0.87
5,116.95,2518.1,1.03,20.0,29.0,1208 13-6 60-62,,116.95,-1.45,4.33,1208 13-6 60-62 U,-0.55
6,117.05,2519.9,0.92,18.0,55.0,1208 13-6 70-72,,117.05,-1.55,4.46,1208 13-6 70-72 U,-0.65
7,117.14,2521.7,0.89,20.0,22.0,1208 13-6 80-82,,117.14,-1.46,4.4,1208 13-6 80-82 U,-0.56
8,117.24,2523.5,1.1,18.0,14.0,1208 13-6 90-92,,117.24,-1.51,4.4,1208 13-6 90-92 U,-0.61
9,117.55,2529.6,0.92,16.0,10.0,1208 13-6 123-125,,117.55,-1.41,4.3,1208 13-6 123-125 U,-0.51
10,117.62,2530.9,0.85,13.0,39.0,1208 13-6 130-132,,117.62,-1.62,4.28,1208 13-6 130-132 U,-0.72
11,117.84,2535.1,1.07,18.0,12.0,1208 13-7 3-5,,117.84,-1.44,4.26,1208 13-7 3-5 U,-0.54
12,118.2,2542.2,0.95,19.0,25.0,1208 13-7 40-42,,118.2,-1.25,3.59,1208 13-7 40-42 U,-0.35
13,118.29,2544.5,0.94,13.0,29.0,1208 13-7 50-52,,118.29,-1.05,3.5,1208 13-7 50-52 U,-0.15
14,118.39,2546.8,1.25,20.0,25.0,1208 13-7 60-62,,118.39,-1.06,3.53,1208 13-7 60-62 U,-0.16
15,118.63,2552.5,1.07,12.0,10.0,1208 13-CC 20-22,,118.63,-0.89,3.42,1208 13-CC 20-22 U,0.01
16,118.73,2555.1,1.05,13.0,10.0,1208 14-1 3-5,,118.73,-1.22,3.54,1208 14-1 3-5 U,-0.32
17,118.79,2556.9,1.0,16.0,11.0,1208 14-1 10-12,,118.79,-1.14,3.75,1208 14-1 10-12 U,-0.24
18,118.89,2559.4,1.04,17.0,10.0,1208 14-1 20-22,,118.89,-1.31,3.8,1208 14-1 20-22 U,-0.41
19,118.98,2561.9,1.02,20.0,15.0,1208 14-1 30-32,,118.98,-1.23,3.78,1208 14-1 30-32 U,-0.33
20,119.08,2564.4,1.27,16.0,11.0,1208 14-1 40-42,,119.08,-1.01,3.67,1208 14-1 40-42 U,-0.11
21,119.3,2570.2,1.07,14.0,7.0,1208 14-1 63-65,,119.3,-1.08,3.64,1208 14-1 63-65 U,-0.18
22,119.38,2572.5,1.04,18.0,32.0,1208 14-1 72-74,,119.38,-1.28,3.78,1208 14-1 72-74 U,-0.38
23,119.46,2574.6,1.01,17.0,16.0,1208 14-1 80-82,,119.46,-1.09,3.61,1208 14-1 80-82 U,-0.19
24,119.55,2577.1,1.05,54.0,71.0,1208 14-1 90-92,,119.55,-1.16,3.52,1208 14-1 90-92 U,-0.26
25,119.65,2579.7,1.01,14.0,8.0,1208 14-1 100-102,,119.65,-0.96,3.48,1208 14-1 100-102 U,-0.06
26,119.74,2582.3,1.03,19.0,15.0,1208 14-1 110-112,,119.74,-1.07,3.35,1208 14-1 110-112 U,-0.17
27,119.86,2585.6,1.2,46.0,39.0,1208 14-1 123-125,,119.86,-0.82,3.3,1208 14-1 123-125 U,0.08
28,119.93,2587.4,1.24,43.0,50.0,1208 14-1 130-132,,119.93,-0.91,3.29,1208 14-1 130-132 U,-0.01
29,120.04,2590.4,1.02,27.0,30.0,1208 14-1 142-144,,120.04,-1.12,3.4,1208 14-1 142-144 U,-0.22
30,120.15,2593.3,1.05,12.0,9.0,1208 14-2 3-5,,120.15,-1.24,3.51,1208 14-2 3-5 U,-0.34
31,120.21,2595.0,1.09,99.0,197.0,1208 14-2 10-12,,120.21,-1.24,3.51,1208 14-2 10-12 U,-0.34
32,120.31,2596.8,0.88,14.0,13.0,1208 14-2 20-22,,120.31,-1.46,3.86,1208 14-2 20-22 U,-0.56
33,120.52,2600.9,0.96,13.0,10.0,1208 14-2 43-45,,120.52,-1.69,3.93,1208 14-2 43-45 U,-0.79
34,120.52,2600.9,0.96,13.0,10.0,1208 14-2 43-45,,120.52,-1.27,4.0,1208 14-2 43-45 RU,-0.37
35,120.68,2603.9,1.1,11.0,6.0,1208 14-2 60-62,,120.68,-1.6,4.03,1208 14-2 60-62 U,-0.7
36,120.87,2607.4,0.81,18.0,18.0,1208 14-2 80-82,,120.87,-1.63,4.37,1208 14-2 80-82 U,-0.73
37,121.06,2610.9,1.13,24.0,22.0,1208 14-2 100-102,,121.06,-1.44,4.12,1208 14-2 100-102 U,-0.54
38,121.16,2612.7,1.16,36.0,48.0,1208 14-2 110-112,,121.16,-1.47,3.89,1208 14-2 110-112 U,-0.57
39,121.28,2615.0,1.13,31.0,40.0,1208 14-2 123-125,,121.28,-1.26,3.85,1208 14-2 123-125 U,-0.36
40,121.35,2616.6,1.1,44.0,47.0,1208 14-2 130-132,,121.35,-1.11,3.69,1208 14-2 130-132 U,-0.21
41,121.35,2616.6,1.1,44.0,47.0,1208 14-2 130-132,,121.35,-0.87,3.43,1208 14-2 130-132 RU,0.03
42,121.44,2618.9,0.94,21.0,18.0,1208 14-2 140-142,,121.44,-1.07,3.71,1208 14-2 140-142 U,-0.17
43,121.56,2621.9,0.99,39.0,58.0,1208_14-3 3-5,,121.56,-1.25,3.24,1208 14-3 3-5 U,-0.35
44,121.63,2623.6,1.04,36.0,52.0,1208_14-3 10-12,,121.63,-1.15,3.15,1208 14-3 10-12 U,-0.25
45,121.72,2625.9,1.0,32.0,45.0,1208_14-3 20-22,,121.72,-1.16,3.3,1208 14-3 20-22 U,-0.26
46,121.82,2628.2,1.06,32.0,36.0,1208 14-3 30-32,,121.82,-0.89,3.39,1208 14-3 30-32 U,0.01
47,121.91,2630.5,1.05,93.0,148.0,1208_14-3 40-42,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),121.91,-0.9,3.36,1208 14-3 40-42 U,0.0
48,122.01,2632.8,1.01,35.0,36.0,1208_14-3 50-52,,122.01,-1.15,3.6,1208 14-3 50-52 U,-0.25
49,122.13,2635.8,1.07,13.0,16.0,1208_14-3 63-65,,122.13,-1.26,3.67,1208 14-3 63-65 U,-0.36
50,122.2,2637.5,0.91,19.0,38.0,1208_14-3 70-72,,122.2,-1.13,3.64,1208 14-3 70-72 U,-0.23
51,122.39,2642.5,0.95,24.0,5.0,1208_14-3 90-92,,122.39,-1.18,3.85,1208 14-3 90-92 U,-0.28
52,122.39,2642.5,1.02,11.0,15.0,1208_14-3 90-92,,122.39,-1.18,3.85,1208 14-3 90-92 U,-0.28
53,122.48,2645.0,1.07,23.0,23.0,1208_14-3 100-102,,122.48,-1.44,3.94,1208 14-3 100-102 U,-0.54
54,122.86,2654.7,1.03,34.0,67.0,1208_14-3 140-142,,122.86,-1.34,3.43,1208 14-3 140-142,-0.44
55,122.98,2657.5,0.96,,79.0,1208_14-4 3-5,,122.98,-1.02,3.19,1208-14-4 3-5U,-0.12
56,123.14,2661.0,1.21,36.0,98.0,1208_14-4 20-22,,123.14,-0.81,3.09,1208-14-4 20-22U,0.09
57,123.24,2663.2,1.2,45.0,67.0,1208_14-4 30-32,,123.24,-1.12,3.25,1208-14-4 30-32U,-0.22
58,123.33,2665.3,0.99,13.0,39.0,1208_14-4 40-42,,123.33,-1.36,2.97,1208-14-4 40-42U,-0.46
59,123.33,2665.3,0.99,13.0,39.0,1208_14-4 40-42,,123.33,-1.01,3.24,1208 14-4 40-42 U,-0.11
