,age_ka,cmcd,MgCa,BWT,d18O_sw,RSL,RSL_smooth,mcd,d18O,d13C
0,2016,83.4,1.57,2.7,0.63,-53.2,-40.2,90.05,3.35,0.78
1,2019,83.7,1.42,1.7,0.11,-0.9,-0.5,90.19,3.54,0.49
2,2026,84.3,1.64,3.2,0.18,-8.1,-20.2,90.56,4.18,0.26
3,2047,85.6,1.71,3.7,0.67,-57.3,-45.7,91.69,3.59,0.87
4,2069,86.8,1.32,1.1,0.48,-38.0,-50.1,92.95,3.61,0.97
5,2072,87.0,1.33,1.1,0.54,-43.6,-31.9,93.11,3.55,0.87
6,2078,87.3,1.27,0.8,0.27,-17.4,-11.5,93.41,3.43,0.7
7,2084,87.6,1.62,3.0,0.59,-48.6,-27.1,93.7,3.52,0.36
8,2117,89.2,1.45,1.9,0.18,-8.1,-16.7,94.83,3.72,0.76
9,2144,90.3,1.62,3.1,0.43,-33.1,-11.4,95.95,3.58,0.64
10,2213,93.0,1.5,2.3,0.19,-8.5,-3.7,98.95,3.32,0.83
11,2223,93.5,1.58,2.8,0.15,-4.7,-3.1,99.41,3.43,1.04
12,2233,94.1,1.81,4.3,0.43,-32.6,-16.9,99.7,3.74,0.8
13,2261,95.6,1.61,3.0,-0.02,11.8,0.1,100.91,3.43,1.01
14,2296,97.1,1.61,3.0,0.14,-4.1,-9.9,102.69,3.35,1.1
15,2303,97.4,1.62,3.0,0.14,-3.7,-12.2,103.08,3.22,1.05
16,2306,97.5,1.65,3.2,0.32,-22.1,-19.6,103.23,3.38,1.03
17,2326,98.4,1.36,1.4,-0.12,22.5,6.3,104.55,3.74,0.47
18,2340,99.0,1.73,3.8,0.29,-19.1,8.5,105.3,3.23,1.07
19,2358,99.9,1.42,1.7,0.28,-18.4,-9.8,106.05,4.13,0.2
20,2373,100.7,1.66,3.3,0.12,-1.9,-1.0,106.8,3.71,1.07
21,2389,101.4,1.42,1.7,0.16,-6.5,-20.7,107.39,3.91,0.68
22,2434,103.9,1.53,2.5,0.93,-82.8,-60.2,109.5,3.96,0.58
23,2448,104.6,1.19,0.2,-0.18,27.7,6.8,109.97,3.37,0.99
24,2480,106.0,1.36,1.3,0.45,-35.2,-53.4,111.3,4.02,0.12
25,2486,106.3,1.28,0.8,0.37,-26.8,-66.9,111.75,3.72,0.61
26,2523,107.9,1.34,1.2,0.64,-54.5,-50.3,113.16,3.96,0.57
27,2560,109.3,1.34,1.2,-0.25,35.4,1.8,114.64,3.75,0.9
28,2565,109.5,1.61,3.0,0.24,-14.3,-5.6,114.78,3.96,0.8
29,2576,110.0,1.68,3.5,0.32,-21.9,-10.5,115.08,3.43,0.94
30,2601,111.4,1.5,2.2,0.47,-36.7,-26.0,116.14,4.1,0.42
31,2609,111.8,1.43,1.8,0.24,-13.5,-39.5,116.89,3.42,0.97
32,2612,111.9,1.82,4.4,0.78,-68.3,-20.2,117.19,3.27,0.49
33,2696,115.3,1.47,2.1,0.09,0.7,-11.1,120.19,3.3,1.13
34,2704,115.7,1.22,0.4,0.06,4.4,0.0,120.48,3.12,1.19
35,2721,116.5,1.51,2.3,0.61,-51.2,-45.8,121.06,3.43,1.1
36,2739,117.1,1.8,4.3,0.48,-37.6,-49.6,121.56,3.32,1.03
37,2780,118.3,1.61,3.0,0.26,-16.1,-28.0,123.2,3.18,0.95
38,2783,118.4,1.48,2.1,-0.15,24.7,12.6,123.35,2.81,0.91
39,2859,121.5,1.54,2.6,0.01,9.5,16.9,126.74,3.26,0.72
40,2867,121.8,1.49,2.2,-0.27,36.6,6.9,127.1,3.06,0.6
41,2877,122.2,1.55,2.6,-0.05,15.2,8.6,127.97,3.17,0.69
42,2941,125.1,1.59,2.9,-0.23,32.9,-2.9,130.4,2.97,1.01
43,2997,127.6,1.69,3.6,0.13,-2.6,-17.3,132.8,2.97,0.51
44,3000,127.8,1.79,4.2,0.23,-12.9,-17.3,132.95,3.14,0.51
45,3004,127.9,1.92,5.0,0.46,-36.3,-22.0,133.1,2.83,0.79
46,3009,128.1,1.75,3.9,0.27,-16.7,-19.6,133.32,2.71,0.77
47,3022,128.5,1.56,2.6,-0.03,12.5,0.6,133.85,2.85,0.87
48,3046,129.5,1.63,3.2,0.16,-5.5,-16.4,134.88,2.69,1.08
49,3053,129.8,1.73,3.8,0.03,7.1,-11.7,135.18,2.62,1.0
50,3060,130.1,1.71,3.7,-0.22,31.6,14.7,135.48,2.57,1.01
51,3074,130.7,1.75,3.9,0.02,8.4,-6.9,136.1,2.88,1.01
52,3089,131.3,1.93,5.2,0.33,-23.4,-17.4,136.7,2.75,0.75
